category,subcategory,product,price,svgpath
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶1""*2m(綠, 輕)",350,9555514005115 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶1""*2m(藍, 中)",400,9555514005122 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶1""*2m(紫, 重)",480,9555514005139 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶1""*2m(灰, 加重)",560,9555514005146 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶2""*2m(綠, 輕)",630,9555514005016 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶2""*2m(藍, 中)",730,9555514005023 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶2""*2m(紫, 重)",830,9555514005030 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶2""*2m(灰, 加重)",930,9555514005047 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶2""*3.5m(綠, 輕)",1090,9555514005214 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶2""*3.5m(藍, 中)",1290,9555514005221 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶2""*3.5m(紫, 重)",1490,9555514005405 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶2""*3.5m(灰, 加重)",1690,9555514005412 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶3""*2m(藍, 中)",1150,9555514005429 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶3""*2m(灰, 加重)",1250,9555514005436 
商品,筋膜運動產品,softX按摩球50,730,6520177
商品,筋膜運動產品,softX筋膜滾筒65,800,6520178
商品,筋膜運動產品,softX筋膜滾筒90,950,6520179
商品,筋膜運動產品,softX按摩球95,1600,6520183
商品,筋膜運動產品,softX筋膜組合包,3150,6520192
